# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1977
#@/user_id	myrimedata-windows
gai xia 	改下	c=2 d=0.577613 t=1721
gai yong 	改用	c=1 d=0.0365162 t=1721
gan de 	乾的	c=1 d=0.115903 t=1721
gan jue 	感覺	c=1 d=0.697676 t=1721
gao xing 	高興	c=0 d=0.0121238 t=1721
ge 	個	c=2 d=0.412522 t=1721
ge di 	各地	c=2 d=0.0641943 t=1721
ge ren 	個人	c=2 d=0.965606 t=1721
ge shi 	格式	c=1 d=0.548812 t=1721
ge shu 	個數	c=1 d=0.106992 t=1721
ge wei 	各位	c=2 d=1.42722 t=1721
gei 	給	c=4 d=1.1163 t=1721
gen 	跟	c=2 d=0.297279 t=1721
geng xin 	更新	c=1 d=0.20089 t=1721
gong neng 	功能	c=7 d=1.5572 t=1721
gong si 	公司	c=1 d=0.955997 t=1721
gong zhong 	公衆	c=0 d=0.0895834 t=1721
gong zhong hao 	公衆號	c=1 d=0.900324 t=1721
gu 	股	c=3 d=0.209974 t=1721
gu dan dan de 	孤單單的	c=0 d=0.0465334 t=1721
gu ge 	谷歌	c=0 d=0.00824965 t=1721
gu ge shu ru fa 	谷歌輸入法	c=1 d=0.08291 t=1721
gu ji 	估計	c=1 d=0.224249 t=1721
gu zi li 	骨子裏	c=1 d=0.499074 t=1721
gua 	掛	c=1 d=0.100259 t=1721
gua li 	掛曆	c=1 d=0.244143 t=1721
guan fang 	官方	c=3 d=1.16718 t=1721
guan li 	管理	c=1 d=0.245367 t=1721
guan li ruan jian 	管理軟件	c=2 d=0.986256 t=1721
guan wang 	官網	c=2 d=0.0801455 t=1721
guan wang 	觀望	c=1 d=0.0291588 t=1721
guan xi 	關係	c=1 d=0.0824965 t=1721
guan zhu 	關注	c=2 d=0.0610939 t=1721
guang biao 	光標	c=1 d=0.0513033 t=1721
guang wu ran 	光污染	c=0 d=0.0323033 t=1721
gui fan de 	規範的	c=1 d=0.0992613 t=1721
guo ji 	國際	c=12 d=4.79566 t=1721
